invoice_number,vendor,charge_type,amount,detected_variance,can_send_dispute,true_class,actual_leakage,is_actionable,gate_reason
INV-BLIND-10001,ONE (Ocean Network Express),OCEAN_FREIGHT,3250.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10002,Maersk Line,OCEAN_FREIGHT,3200.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10003,DP World Logistics,OCEAN_FREIGHT,3180.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10004,DP World Logistics,OCEAN_FREIGHT,3180.0,2250.0,False,CLEAN_MATCH,0.0,False,Incomplete cross-document evidence: Secondary document verification missing.
INV-BLIND-10005,CMA CGM,OCEAN_FREIGHT,3150.0,1070.0,False,CLEAN_MATCH,0.0,False,Incomplete cross-document evidence: Secondary document verification missing.
INV-BLIND-10006,ONE (Ocean Network Express),OCEAN_FREIGHT,3250.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10007,Hapag-Lloyd,OCEAN_FREIGHT,3300.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10008,ONE (Ocean Network Express),OCEAN_FREIGHT,3250.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10009,ONE (Ocean Network Express),OCEAN_FREIGHT,3250.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10010,Maersk Line,OCEAN_FREIGHT,3200.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10011,ONE (Ocean Network Express),OCEAN_FREIGHT,3250.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10012,MSC Mediterranean Shipping,OCEAN_FREIGHT,3100.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10013,DP World Logistics,OCEAN_FREIGHT,3180.0,360.0,False,CLEAN_MATCH,0.0,False,Incomplete cross-document evidence: Secondary document verification missing.
INV-BLIND-10014,Evergreen Marine,OCEAN_FREIGHT,3050.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10015,Hapag-Lloyd,OCEAN_FREIGHT,3300.0,2320.0,False,CLEAN_MATCH,0.0,False,Incomplete cross-document evidence: Secondary document verification missing.
INV-BLIND-10016,ONE (Ocean Network Express),OCEAN_FREIGHT,3250.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10017,ONE (Ocean Network Express),OCEAN_FREIGHT,3250.0,0.0,False,CLEAN_MATCH,0.0,False,Immaterial variance ($0.00 < $50.00 threshold). Suppressed to avoid vendor friction.
INV-BLIND-10018,CMA CGM,OCEAN_FREIGHT,3150.0,350.0,False,CLEAN_MATCH,0.0,False,Incomplete cross-document evidence: Secondary document verification missing.
