invoice_id,vendor,container,charge_type,invoice_amount,contract_amount,expected_amount,variance,evidence_documents,contract_clause,confidence,decision,recommended_action,audit_note
INV-2026-10001,Maersk Line,MAEU1000001,OCEAN_FREIGHT,2850.0,2850.0,2850.0,0.0,Invoice INV-2026-10001,Contract MSA-MAE-2025-09 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10002,MSC Mediterranean Shipping,MSCU1000002,OCEAN_FREIGHT,4100.0,4100.0,4100.0,0.0,Invoice INV-2026-10002,Contract MSA-MSC-2025-14 - Sched A (Base Freight: JEBEL_ALI_TO_HOUSTON),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10003,Gulf Drayage LLC,MSCU1000002,FREIGHT,850.0,850.0,850.0,0.0,Invoice INV-2026-10003,Contract MSA-GD-2025-22 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10004,Maersk Line,MAEU1000004,OCEAN_FREIGHT,2850.0,2850.0,2850.0,0.0,Invoice INV-2026-10004,Contract MSA-MAE-2025-09 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10005,Hapag-Lloyd,HAPU1000005,OCEAN_FREIGHT,2150.0,2150.0,2150.0,0.0,Invoice INV-2026-10005,Contract MSA-HL-2025-03 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10006,MSC Mediterranean Shipping,MSCU1000006,OCEAN_FREIGHT,2050.0,2050.0,2050.0,0.0,Invoice INV-2026-10006,Contract MSA-MSC-2025-14 - Sched A (Base Freight: SHANGHAI_TO_JEBEL_ALI),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10007,Maersk Line,MAEU1000007,OCEAN_FREIGHT,3600.0,3600.0,3600.0,0.0,Invoice INV-2026-10007,Contract MSA-MAE-2025-09 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10008,Maersk Line,MAEU1000008,OCEAN_FREIGHT,3600.0,3600.0,3600.0,0.0,Invoice INV-2026-10008,Contract MSA-MAE-2025-09 - Sched A (Base Freight: NINGBO_TO_LOS_ANGELES),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10009,CMA CGM,CMAU1000009,OCEAN_FREIGHT,2800.0,2800.0,2800.0,0.0,Invoice INV-2026-10009,Contract MSA-CMA-2025-88 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
INV-2026-10010,Maersk Line,MAEU1000010,OCEAN_FREIGHT,2850.0,2850.0,2850.0,0.0,Invoice INV-2026-10010,Contract MSA-MAE-2025-09 - Sched A (Base Freight: JEBEL_ALI_TO_ROTTERDAM),0.99,GREEN,Approve for scheduled payment,Billed amount aligns with standard records.
